ID,Longitude,Latitude,year,month,LST_d,LST_n
4060,-44.5,-10.5,2015,12,36.4188178588235,23.9199946538462
4061,-44.5,-10.5,2016,1,31.20398562,NA
4062,-44.5,-10.5,2016,2,29.4083277333333,21.1181779272727
4063,-44.5,-10.5,2016,3,30.48124504375,21.1476886384615
4064,-44.5,-10.5,2016,4,30.26249123125,22.2169166
4065,-44.5,-10.5,2016,5,31.60899201,20.344995125
4066,-44.5,-10.5,2016,6,32.3727195,21.1247544142857
4067,-44.5,-10.5,2016,7,34.4199958230769,20.2977724444444
4068,-44.5,-10.5,2016,8,37.4792257384615,21.3158251541667
4069,-44.5,-10.5,2016,9,39.6895185285714,23.14999825
4070,-44.5,-10.5,2016,10,39.9813313866667,23.7033258916667
4071,-44.5,-10.5,2016,11,36.8953739923077,22.7338421153846
4072,-44.5,-10.5,2016,12,30.38599244,20.4314226428572
4073,-44.5,-10.5,2017,1,29.0914132285714,20.4166616
4074,-44.5,-10.5,2017,2,27.1342860571429,NA
4075,-44.5,-10.5,2017,3,25.7549934375,19.7371346571429
4076,-44.5,-10.5,2017,4,29.18799236,19.5454517818182
4077,-44.5,-10.5,2017,5,31.2545387909091,21.4971378857143
4078,-44.5,-10.5,2017,6,33.090391832,21.721992495
4079,-44.5,-10.5,2017,7,32.9538374653846,20.6633300833333
4080,-44.5,-10.5,2017,8,37.9422144037037,21.7199906
4081,-44.5,-10.5,2017,9,39.270393068,23.4525847333333
4082,-44.5,-10.5,2017,10,44.2799946136364,24.0573836652174
4083,-44.5,-10.5,2017,11,36.02599183,22.0566660666667
4084,-44.5,-10.5,2017,12,30.8777703333333,22.9299927
4085,-44.5,-10.5,2018,1,30.0090831454546,21.1599934833333
4086,-44.5,-10.5,2018,2,26.019989,21.0257088857143
4087,-44.5,-10.5,2018,3,26.4633280166667,21.439987175
4088,-44.5,-10.5,2018,4,26.62132364,20.811658225
4089,-44.5,-10.5,2018,5,28.5441602083333,19.3157087071429
4090,-44.5,-10.5,2018,6,30.5799916625,20.3349940041667
4091,-44.5,-10.5,2018,7,33.4838362461538,20.033329552381
4092,-44.5,-10.5,2018,8,36.8415316076923,22.21199494
4093,-44.5,-10.5,2018,9,40.8495576347826,22.2499915333333
4094,-44.5,-10.5,2018,10,41.9733251083333,22.8355492555556
4095,-44.5,-10.5,2018,11,28.57999268,21.14799194
4096,-44.5,-10.5,2018,12,29.20199281,19.7066548666667
4097,-44.5,-10.5,2019,1,29.5249938916667,21.1657104428572
4098,-44.5,-10.5,2019,2,28.179992675,20.9366607833333
4099,-44.5,-10.5,2019,3,28.04999389,21.5345403545455
4100,-44.5,-10.5,2019,4,27.1090864818182,19.34199219
4101,-44.5,-10.5,2019,5,29.1255476111111,20.8094033647059
4102,-44.5,-10.5,2019,6,30.2883262625,20.43299256
4103,-44.5,-10.5,2019,7,33.5374933958333,20.1020989684211
4104,-44.5,-10.5,2019,8,36.0881736045455,22.0246112538461
4105,-44.5,-10.5,2019,9,41.6481739272727,23.7899919
4106,-44.5,-10.5,2019,10,41.4377712666667,23.79427665
4107,-44.5,-10.5,2019,11,41.4171317,21.8377685666667
4108,-44.5,-10.5,2019,12,33.1076871461539,21.8537445125
4109,-44.5,-10.5,2020,1,29.9457048714286,21.7218156272727
4110,-44.5,-10.5,2020,2,29.2999921428571,20.594993575
4111,-44.5,-10.5,2020,3,25.5266571,NA
4112,-44.5,-10.5,2020,4,26.1353783153846,20.0849990625
4113,-44.5,-10.5,2020,5,26.8533223533333,20.1218122909091
4114,-44.5,-10.5,2020,6,28.1622178833333,19.7190815409091
4115,-44.5,-10.5,2020,7,31.1216608666667,20.31359498
4116,-44.5,-10.5,2020,8,35.4999949125,21.9443399130435
4117,-44.5,-10.5,2020,9,39.2249946583333,23.3476082952381
4118,-44.5,-10.5,2020,10,42.8799936421053,23.65249443125
4119,-44.5,-10.5,2020,11,32.9433186833333,22.0499928833333
4120,-44.5,-10.5,2020,12,30.27499389375,19.9511108444444
4121,-44.5,-10.5,2021,1,29.41499329375,21.07832845
4122,-44.5,-10.5,2021,2,29.2599792,20.2399902
4123,-44.5,-10.5,2021,3,24.97999267,20.3088819888889
4124,-44.5,-10.5,2021,4,26.6866624666667,19.3966573
4125,-44.5,-10.5,2021,5,27.8117568117647,16.9509027727273
4126,-44.5,-10.5,2021,6,30.3684162315789,20.0986592666667
4127,-44.5,-10.5,2021,7,32.4999920434783,20.6142854238095
4128,-44.5,-10.5,2021,8,35.8799902782609,20.8181748818182
4129,-44.5,-10.5,2021,9,40.4388834611111,22.6929357058823
4130,-44.5,-10.5,2021,10,41.2507652769231,24.6626607266667
4131,-44.5,-10.5,2021,11,29.6428484285714,22.03999325
4132,-44.5,-10.5,2021,12,27.73599854,NA
4133,-44.5,-9.5,2015,1,37.6183268166667,24.07199402
4134,-44.5,-9.5,2015,2,34.53198852,NA
4135,-44.5,-9.5,2015,3,34.7149887,23.409996025
4136,-44.5,-9.5,2015,4,31.8799947333333,23.5399932833333
4137,-44.5,-9.5,2015,5,30.9364642,23.8349939833333
4138,-44.5,-9.5,2015,6,34.3855523055556,23.7266621866667
4139,-44.5,-9.5,2015,7,36.4417299913043,24.5449936
4140,-44.5,-9.5,2015,8,39.0458259583333,24.7452100695652
4141,-44.5,-9.5,2015,9,44.4216588333333,25.7499930636364
4142,-44.5,-9.5,2015,10,46.6690854136364,26.733993535
4143,-44.5,-9.5,2015,11,41.3371385857143,25.984996775
4144,-44.5,-9.5,2015,12,41.3271331857143,26.4119934066667
4145,-44.5,-9.5,2016,1,35.019989,NA
4146,-44.5,-9.5,2016,2,35.5127230545455,24.21599732
4147,-44.5,-9.5,2016,3,33.11798706,24.1733228777778
4148,-44.5,-9.5,2016,4,35.8506632533333,23.9539917
4149,-44.5,-9.5,2016,5,36.2094008588235,24.3094033470588
4150,-44.5,-9.5,2016,6,35.7139043478261,23.97399445
4151,-44.5,-9.5,2016,7,36.6888812037037,23.3881766590909
4152,-44.5,-9.5,2016,8,39.9274940416667,24.652792972
4153,-44.5,-9.5,2016,9,41.9742722285714,26.1723022384615
4154,-44.5,-9.5,2016,10,40.0741092470588,25.6107600384615
4155,-44.5,-9.5,2016,11,39.9899927666667,25.76799317
4156,-44.5,-9.5,2016,12,36.8314252571429,22.8966573333333
4157,-44.5,-9.5,2017,1,32.71199342,23.30799562
4158,-44.5,-9.5,2017,2,30.3399963,NA
4159,-44.5,-9.5,2017,3,31.5933176833333,21.154998775
4160,-44.5,-9.5,2017,4,31.3885650642857,22.8509022181818
4161,-44.5,-9.5,2017,5,31.9708290083333,23.4657047928571
4162,-44.5,-9.5,2017,6,33.0956447478261,23.0257074238095
4163,-44.5,-9.5,2017,7,33.0607604961538,23.3218979571429
4164,-44.5,-9.5,2017,8,38.889592268,24.3060780347826
4165,-44.5,-9.5,2017,9,40.8930687576923,25.812792972
4166,-44.5,-9.5,2017,10,44.7742774666667,26.3163563136364
4167,-44.5,-9.5,2017,11,36.7019867,24.0711025777778
4168,-44.5,-9.5,2017,12,33.3999895428571,23.77598878
4169,-44.5,-9.5,2018,1,31.01599122,23.3914228142857
4170,-44.5,-9.5,2018,2,28.9649887,22.14499285
4171,-44.5,-9.5,2018,3,28.4257071285714,22.62799074
4172,-44.5,-9.5,2018,4,30.3566589333333,22.6799977666667
4173,-44.5,-9.5,2018,5,31.4866609095238,22.95285035
4174,-44.5,-9.5,2018,6,32.854395748,21.8682286823529
4175,-44.5,-9.5,2018,7,34.231102837037,22.658174
4176,-44.5,-9.5,2018,8,38.017591548,24.128689973913
4177,-44.5,-9.5,2018,9,41.7236230954545,25.0858764705882
4178,-44.5,-9.5,2018,10,41.4947317052632,25.0933227666667
4179,-44.5,-9.5,2018,11,37.177490225,25.004981975
4180,-44.5,-9.5,2018,12,34.66398928,21.7039917
4181,-44.5,-9.5,2019,1,33.1381780363636,22.879989625
4182,-44.5,-9.5,2019,2,31.8399919714286,23.40000002
4183,-44.5,-9.5,2019,3,31.7499923625,23.1628548571429
4184,-44.5,-9.5,2019,4,29.32199403,23.0355495888889
4185,-44.5,-9.5,2019,5,32.05749321875,22.734991075
4186,-44.5,-9.5,2019,6,31.6816635083333,22.46749305
4187,-44.5,-9.5,2019,7,34.3733266125,22.9755503444444
4188,-44.5,-9.5,2019,8,37.8878160565217,23.726392828
4189,-44.5,-9.5,2019,9,42.9716580791667,26.0591596
4190,-44.5,-9.5,2019,10,42.95874404375,26.0764626941176
4191,-44.5,-9.5,2019,11,40.227489475,24.91999435
4192,-44.5,-9.5,2019,12,40.8166631,24.7266642133333
4193,-44.5,-9.5,2020,1,34.7299957333333,23.8799961714286
4194,-44.5,-9.5,2020,2,30.7314191428572,23.1799888625
4195,-44.5,-9.5,2020,3,29.2799886,23.6799927
4196,-44.5,-9.5,2020,4,30.2090842454545,23.62399294
4197,-44.5,-9.5,2020,5,30.3985639285714,22.7457101142857
4198,-44.5,-9.5,2020,6,29.6620981263158,21.4505245789474
